device_id,store_id,product_id,quantity_on_hand,log_timestamp
DEV0084,STORE057,PROD0366,72,2024-03-23
DEV0085,STORE098,PROD0031,390,2024-05-06
DEV0086,STORE063,PROD0734,57,2024-02-20
DEV0087,STORE041,PROD0377,151,2024-11-04
DEV0088,STORE078,PROD0015,348,2024-05-12
DEV0089,STORE071,PROD0086,140,2024-08-10
DEV0090,STORE097,PROD0271,363,2024-01-03
DEV0091,STORE002,PROD0729,398,2024-02-25
DEV0092,STORE071,PROD0701,356,2024-04-07
DEV0093,STORE002,PROD0819,373,2024-09-27
DEV0094,STORE020,PROD0019,45,2024-09-11
DEV0095,STORE098,PROD0485,181,2024-02-29
DEV0096,STORE085,PROD0336,134,2024-06-11
DEV0097,STORE082,PROD0306,431,2024-10-05
DEV0098,STORE055,PROD0244,465,2024-12-02
DEV0099,STORE068,PROD0199,73,2024-07-01
DEV0100,STORE098,PROD0389,201,2024-07-30
DEV0101,STORE037,PROD0196,286,2024-05-06
DEV0102,STORE007,PROD0066,190,2024-11-05
DEV0103,STORE059,PROD0141,114,2024-09-22
DEV0104,STORE016,PROD0007,107,2024-03-02
DEV0105,STORE092,PROD0229,364,2024-07-07
DEV0106,STORE009,PROD0001,36,2024-05-31
DEV0107,STORE094,PROD0723,315,2024-09-20
DEV0108,STORE062,PROD0588,346,2024-12-13
DEV0109,STORE100,PROD0424,75,2024-02-25
DEV0110,STORE017,PROD0056,113,2024-05-26
DEV0111,STORE001,PROD0990,312,2024-06-06
DEV0112,STORE021,PROD0988,222,2024-03-06
DEV0113,STORE032,PROD0248,258,2024-12-19
DEV0114,STORE067,PROD0438,499,2024-02-19
DEV0115,STORE060,PROD0057,101,2024-07-26
DEV0116,STORE045,PROD0161,348,2024-11-27
DEV0117,STORE060,PROD0846,90,2024-11-02
DEV0118,STORE062,PROD0611,86,2024-05-17
DEV0119,STORE086,PROD0289,142,2024-08-21
DEV0120,STORE025,PROD0931,231,2024-11-04
DEV0121,STORE092,PROD0160,365,2024-02-06
DEV0122,STORE040,PROD0504,63,2024-03-14
DEV0123,STORE040,PROD0062,427,2024-08-02
DEV0124,STORE046,PROD0195,97,2024-02-12
DEV0125,STORE022,PROD0333,359,2024-06-05
DEV0126,STORE005,PROD0843,218,2024-12-27
DEV0127,STORE081,PROD0766,272,2024-03-10
DEV0128,STORE054,PROD0822,242,2024-03-17
DEV0129,STORE032,PROD0270,192,2024-01-22
DEV0130,STORE084,PROD0816,379,2024-06-01
DEV0131,STORE088,PROD0417,299,2024-12-16
DEV0132,STORE035,PROD0488,187,2024-07-27
DEV0133,STORE006,PROD0463,23,2024-10-09
DEV0134,STORE080,PROD0536,185,2024-01-16
DEV0135,STORE023,PROD0914,54,2024-02-23
DEV0136,STORE057,PROD0289,52,2024-06-15
DEV0137,STORE060,PROD0313,90,2024-01-16
DEV0138,STORE045,PROD0372,236,2024-05-04
DEV0139,STORE064,PROD0622,354,2024-03-17
DEV0140,STORE068,PROD0704,208,2024-07-12
DEV0141,STORE048,PROD0866,186,2024-06-26
DEV0142,STORE006,PROD0433,469,2024-10-29
DEV0143,STORE069,PROD0531,226,2024-03-17
DEV0144,STORE096,PROD0048,371,2024-05-13
DEV0145,STORE048,PROD0445,370,2024-05-21
DEV0146,STORE090,PROD0498,94,2024-06-20
DEV0147,STORE057,PROD0426,98,2024-10-11
DEV0148,STORE063,PROD0008,7,2024-08-18
DEV0149,STORE013,PROD0635,477,2024-06-15
DEV0150,STORE012,PROD0763,162,2024-08-17
DEV0151,STORE100,PROD0665,332,2024-04-16
DEV0152,STORE075,PROD0001,1,2024-09-01
DEV0153,STORE082,PROD0204,426,2024-07-21
DEV0154,STORE097,PROD0828,244,2024-09-01
DEV0155,STORE068,PROD0914,115,2024-10-14
DEV0156,STORE047,PROD0491,460,2024-08-22
DEV0157,STORE002,PROD0955,306,2024-04-23
DEV0158,STORE025,PROD0287,344,2024-04-28
DEV0159,STORE078,PROD0277,498,2024-07-07
DEV0160,STORE077,PROD0160,60,2024-09-08
DEV0161,STORE033,PROD0013,252,2024-06-10
DEV0162,STORE068,PROD0577,485,2024-09-24
DEV0163,STORE003,PROD0228,227,2024-09-03
DEV0164,STORE009,PROD0519,294,2024-05-14
DEV0165,STORE082,PROD0742,329,2024-04-30
DEV0166,STORE096,PROD0431,108,2024-06-13
DEV0167,STORE014,PROD0299,388,2024-08-30
DEV0168,STORE006,PROD0418,107,2024-12-18
DEV0169,STORE077,PROD0657,188,2024-08-16
DEV0170,STORE078,PROD0920,293,2024-04-13
DEV0171,STORE034,PROD0826,483,2024-02-23
DEV0172,STORE063,PROD0234,156,2024-04-19
DEV0173,STORE093,PROD0753,3,2024-11-01
DEV0174,STORE072,PROD0067,206,2024-01-20
DEV0175,STORE008,PROD0571,244,2024-04-20
DEV0176,STORE023,PROD0115,93,2024-04-28
DEV0177,STORE064,PROD0376,264,2024-07-23
DEV0178,STORE044,PROD0527,315,2024-02-27
DEV0179,STORE071,PROD0071,304,2024-02-26
DEV0180,STORE034,PROD0316,170,2024-03-20
DEV0181,STORE094,PROD0637,326,2024-03-09
DEV0182,STORE008,PROD0873,367,2024-12-24
DEV0183,STORE001,PROD0780,362,2024-05-03
DEV0184,STORE062,PROD0686,6,2024-10-10
DEV0185,STORE062,PROD0795,320,2024-07-01
DEV0186,STORE050,PROD0231,6,2024-07-04
DEV0187,STORE096,PROD0078,158,2024-08-30
DEV0188,STORE059,PROD0554,405,2024-03-31
DEV0189,STORE029,PROD0397,347,2024-04-14
DEV0190,STORE100,PROD0813,331,2024-05-07
DEV0191,STORE082,PROD0697,448,2024-05-27
DEV0192,STORE063,PROD0067,182,2024-02-03
DEV0193,STORE012,PROD0083,245,2024-06-28
DEV0194,STORE057,PROD0652,447,2024-12-30
DEV0195,STORE011,PROD0267,85,2024-12-06
DEV0196,STORE012,PROD0225,236,2024-12-03
DEV0197,STORE009,PROD0235,470,2024-08-05
DEV0198,STORE002,PROD0482,274,2024-12-13
DEV0199,STORE025,PROD0708,363,2024-02-14
DEV0200,STORE046,PROD0093,485,2024-07-28
DEV0201,STORE016,PROD0999,248,2024-06-07
DEV0202,STORE027,PROD0330,435,2024-08-13
DEV0203,STORE094,PROD0717,366,2024-09-17
DEV0204,STORE094,PROD0583,414,2024-05-24
DEV0205,STORE010,PROD0943,414,2024-01-09
DEV0206,STORE093,PROD0648,38,2024-08-05
DEV0207,STORE048,PROD0911,462,2024-06-21
DEV0208,STORE005,PROD0352,198,2024-12-17
DEV0209,STORE045,PROD0541,327,2024-08-12
DEV0210,STORE083,PROD0559,317,2024-11-10
DEV0211,STORE048,PROD0135,328,2024-09-21
DEV0212,STORE047,PROD0461,446,2024-08-16
DEV0213,STORE066,PROD0727,94,2024-05-11
DEV0214,STORE001,PROD0043,279,2024-07-14
DEV0215,STORE084,PROD0048,213,2024-12-16
DEV0216,STORE031,PROD0826,85,2024-05-31
DEV0217,STORE066,PROD0844,414,2024-08-06
DEV0218,STORE093,PROD0619,72,2024-06-17
DEV0219,STORE028,PROD0224,337,2024-11-03
DEV0220,STORE094,PROD0145,50,2024-12-29
DEV0221,STORE079,PROD0770,444,2024-10-22
DEV0222,STORE034,PROD0822,403,2024-03-14
DEV0223,STORE093,PROD0059,274,2024-10-16
DEV0224,STORE029,PROD0777,33,2024-12-27
DEV0225,STORE096,PROD0354,170,2024-12-27
DEV0226,STORE005,PROD0394,490,2024-04-09
DEV0227,STORE057,PROD0960,323,2024-11-28
DEV0228,STORE067,PROD0903,497,2024-12-23
DEV0229,STORE062,PROD0774,211,2024-03-21
DEV0230,STORE098,PROD0977,466,2024-04-03
DEV0231,STORE097,PROD0135,374,2024-02-04
DEV0232,STORE075,PROD0680,185,2024-10-20
DEV0233,STORE047,PROD0980,235,2024-05-21
DEV0234,STORE001,PROD0343,144,2024-02-05
DEV0235,STORE074,PROD0472,332,2024-10-20
DEV0236,STORE050,PROD0745,366,2024-12-21
DEV0237,STORE008,PROD0754,275,2024-10-25
DEV0238,STORE021,PROD0972,19,2024-02-02
DEV0239,STORE001,PROD0443,228,2024-10-20
DEV0240,STORE071,PROD0873,177,2024-08-21
DEV0241,STORE029,PROD0330,226,2024-11-25
DEV0242,STORE028,PROD0317,0,2024-11-14
DEV0243,STORE051,PROD0277,18,2024-08-07
DEV0244,STORE084,PROD0821,228,2024-02-01
DEV0245,STORE047,PROD0968,443,2024-04-08
DEV0246,STORE098,PROD0524,20,2024-03-14
DEV0247,STORE008,PROD0747,338,2024-01-06
DEV0248,STORE099,PROD0843,175,2024-12-22
DEV0249,STORE019,PROD0831,476,2024-03-18
DEV0250,STORE002,PROD0204,220,2024-07-11
DEV0251,STORE076,PROD0953,103,2024-05-07
DEV0252,STORE084,PROD0029,486,2024-07-20
DEV0253,STORE088,PROD0131,199,2024-08-23
DEV0254,STORE083,PROD0691,193,2024-06-08
DEV0255,STORE003,PROD0517,431,2024-08-20
DEV0256,STORE100,PROD0088,163,2024-07-30
DEV0257,STORE040,PROD0867,6,2024-12-23
DEV0258,STORE034,PROD0338,395,2024-08-24
DEV0259,STORE077,PROD0441,134,2024-03-31
DEV0260,STORE047,PROD0380,107,2024-08-17
DEV0261,STORE067,PROD0346,145,2024-09-28
DEV0262,STORE017,PROD0589,39,2024-05-27
DEV0263,STORE012,PROD0017,99,2024-08-18
DEV0264,STORE052,PROD0899,129,2024-01-16
DEV0265,STORE021,PROD0576,393,2024-09-21
DEV0266,STORE005,PROD0884,56,2024-11-27
DEV0267,STORE012,PROD0672,375,2024-01-29
DEV0268,STORE071,PROD0614,21,2024-08-25
DEV0269,STORE026,PROD0069,313,2024-12-02
DEV0270,STORE060,PROD0195,208,2024-08-23
DEV0271,STORE082,PROD0597,245,2024-06-07
DEV0272,STORE033,PROD0868,224,2024-07-18
DEV0273,STORE095,PROD0869,430,2024-04-28
DEV0274,STORE004,PROD0305,271,2024-10-19
DEV0275,STORE091,PROD0489,272,2024-01-24
DEV0276,STORE081,PROD0448,349,2024-10-13
DEV0277,STORE084,PROD0008,257,2024-12-24
DEV0278,STORE099,PROD0565,353,2024-10-06
DEV0279,STORE024,PROD0242,408,2024-02-16
DEV0280,STORE003,PROD0677,159,2024-02-10
DEV0281,STORE009,PROD0666,247,2024-05-17
DEV0282,STORE045,PROD0520,215,2024-02-04
DEV0283,STORE087,PROD0412,481,2024-11-24
DEV0284,STORE095,PROD0622,195,2024-06-12
DEV0285,STORE094,PROD0875,443,2024-04-18
DEV0286,STORE006,PROD0303,306,2024-05-13
DEV0287,STORE048,PROD0537,216,2024-08-12
DEV0288,STORE070,PROD0574,478,2024-07-13
DEV0289,STORE085,PROD0735,251,2024-01-16
DEV0290,STORE041,PROD0272,51,2024-05-20
DEV0291,STORE033,PROD0491,267,2024-01-03
DEV0292,STORE097,PROD0542,288,2024-01-01
DEV0293,STORE053,PROD0782,86,2024-10-01
DEV0294,STORE059,PROD0123,247,2024-01-20
DEV0295,STORE086,PROD0622,456,2024-01-17
DEV0296,STORE087,PROD0404,498,2024-06-28
DEV0297,STORE001,PROD0155,350,2024-06-13
DEV0298,STORE093,PROD0864,416,2024-10-29
DEV0299,STORE058,PROD0030,372,2024-09-14
DEV0300,STORE052,PROD0055,174,2024-11-25
DEV0301,STORE016,PROD0221,45,2024-04-14
DEV0302,STORE090,PROD0827,97,2024-01-27
DEV0303,STORE042,PROD0250,203,2024-02-19
DEV0304,STORE047,PROD0133,193,2024-06-19
DEV0305,STORE043,PROD0705,394,2024-05-20
DEV0306,STORE080,PROD0195,92,2024-11-07
DEV0307,STORE062,PROD0438,233,2024-07-20
DEV0308,STORE076,PROD0433,322,2024-03-28
DEV0309,STORE077,PROD0453,391,2024-06-08
DEV0310,STORE055,PROD0194,243,2024-12-07
DEV0311,STORE043,PROD0995,237,2024-12-16
DEV0312,STORE075,PROD0580,443,2024-08-03
DEV0313,STORE008,PROD0661,155,2024-01-26
DEV0314,STORE071,PROD0298,137,2024-09-11
DEV0315,STORE021,PROD0766,242,2024-10-11
DEV0316,STORE028,PROD0823,58,2024-10-27
DEV0317,STORE095,PROD0522,467,2024-09-19
DEV0318,STORE004,PROD0168,183,2024-09-04
DEV0319,STORE095,PROD0877,406,2024-05-19
DEV0320,STORE063,PROD0818,482,2024-02-16
DEV0321,STORE097,PROD0588,91,2024-07-27
DEV0322,STORE013,PROD0945,362,2024-06-25
DEV0323,STORE008,PROD0885,334,2024-11-24
DEV0324,STORE095,PROD0046,279,2024-01-13
DEV0325,STORE068,PROD0686,477,2024-03-17
DEV0326,STORE030,PROD0012,438,2024-03-22
DEV0327,STORE081,PROD0214,259,2024-01-17
DEV0328,STORE004,PROD0375,339,2024-11-04
DEV0329,STORE063,PROD0155,155,2024-11-02
DEV0330,STORE057,PROD0200,466,2024-08-17
DEV0331,STORE052,PROD0977,477,2024-09-27
DEV0332,STORE012,PROD0576,299,2024-07-25
DEV0333,STORE050,PROD0616,339,2024-04-27
DEV0334,STORE019,PROD0202,167,2024-02-17
DEV0335,STORE053,PROD0460,372,2024-09-06
DEV0336,STORE035,PROD0331,264,2024-08-01
DEV0337,STORE022,PROD0708,413,2024-04-11
DEV0338,STORE041,PROD0339,112,2024-03-20
DEV0339,STORE091,PROD0840,377,2024-02-25
DEV0340,STORE071,PROD0120,327,2024-07-02
DEV0341,STORE058,PROD0594,112,2024-08-18
DEV0342,STORE100,PROD0485,451,2024-05-27
DEV0343,STORE045,PROD0525,404,2024-12-30
DEV0344,STORE048,PROD0624,230,2024-08-13
DEV0345,STORE099,PROD0290,397,2024-10-27
DEV0346,STORE002,PROD0055,383,2024-01-04
DEV0347,STORE042,PROD0755,406,2024-02-10
DEV0348,STORE044,PROD0778,186,2024-10-31
DEV0349,STORE053,PROD0544,462,2024-12-12
DEV0350,STORE022,PROD0443,238,2024-10-27
DEV0351,STORE037,PROD0850,300,2024-02-09
DEV0352,STORE071,PROD0008,27,2024-08-31
DEV0353,STORE043,PROD0482,448,2024-03-19
DEV0354,STORE085,PROD0545,180,2024-05-16
DEV0355,STORE027,PROD0334,214,2024-10-19
DEV0356,STORE085,PROD0889,479,2024-08-12
DEV0357,STORE006,PROD0394,274,2024-05-17
DEV0358,STORE060,PROD0678,237,2024-02-04
DEV0359,STORE062,PROD0582,81,2024-03-19
DEV0360,STORE029,PROD0101,158,2024-02-02
DEV0361,STORE007,PROD0768,9,2024-01-18
DEV0362,STORE035,PROD0477,254,2024-11-12
DEV0363,STORE034,PROD0213,270,2024-10-26
DEV0364,STORE052,PROD0157,360,2024-10-18
DEV0365,STORE049,PROD0115,29,2024-06-21
DEV0366,STORE090,PROD0283,359,2024-02-24
DEV0367,STORE018,PROD0351,282,2024-02-01
DEV0368,STORE021,PROD0299,301,2024-09-26
DEV0369,STORE060,PROD0623,426,2024-11-01
DEV0370,STORE075,PROD0273,364,2024-08-22
DEV0371,STORE044,PROD0335,116,2024-09-30
DEV0372,STORE031,PROD0257,347,2024-08-16
DEV0373,STORE081,PROD0675,110,2024-02-04
DEV0374,STORE093,PROD0738,212,2024-11-07
DEV0375,STORE098,PROD0197,78,2024-11-24
DEV0376,STORE072,PROD0276,456,2024-01-19
DEV0377,STORE046,PROD0925,403,2024-01-07
DEV0378,STORE037,PROD0351,304,2024-08-22
DEV0379,STORE034,PROD0391,67,2024-03-09
DEV0380,STORE071,PROD0885,160,2024-03-06
DEV0381,STORE014,PROD0051,50,2024-07-24
DEV0382,STORE057,PROD0263,5,2024-10-11
DEV0383,STORE030,PROD0397,285,2024-12-06
DEV0384,STORE038,PROD0372,262,2024-10-17
DEV0385,STORE099,PROD0662,441,2024-07-10
DEV0386,STORE015,PROD0971,246,2024-09-04
DEV0387,STORE024,PROD0597,412,2024-08-02
DEV0388,STORE072,PROD0441,339,2024-12-07
DEV0389,STORE031,PROD0806,305,2024-08-31
DEV0390,STORE073,PROD0918,311,2024-07-04
DEV0391,STORE019,PROD0854,462,2024-04-27
DEV0392,STORE038,PROD0423,15,2024-09-16
DEV0393,STORE072,PROD0681,386,2024-06-04
DEV0394,STORE020,PROD0748,370,2024-08-26
DEV0395,STORE087,PROD0702,371,2024-05-11
DEV0396,STORE034,PROD0018,477,2024-09-15
DEV0397,STORE098,PROD0751,365,2024-09-02
DEV0398,STORE046,PROD0468,147,2024-06-12
DEV0399,STORE066,PROD0207,110,2024-12-07
DEV0400,STORE029,PROD0889,15,2024-12-19
DEV0401,STORE015,PROD0786,133,2024-01-07
DEV0402,STORE033,PROD0853,6,2024-02-22
DEV0403,STORE061,PROD0796,133,2024-02-27
DEV0404,STORE090,PROD0767,289,2024-02-17
DEV0405,STORE044,PROD0969,118,2024-09-27
DEV0406,STORE058,PROD0495,397,2024-12-25
DEV0407,STORE045,PROD0812,291,2024-03-06
DEV0408,STORE010,PROD0531,1,2024-01-01
DEV0409,STORE049,PROD0417,216,2024-01-12
DEV0410,STORE061,PROD0863,373,2024-07-26
DEV0411,STORE014,PROD0959,305,2024-06-21
DEV0412,STORE042,PROD0124,40,2024-03-13
DEV0413,STORE012,PROD0550,111,2024-12-04
DEV0414,STORE053,PROD0514,53,2024-04-20
DEV0415,STORE035,PROD0692,414,2024-07-16
DEV0416,STORE017,PROD0169,206,2024-10-07
DEV0417,STORE038,PROD0471,491,2024-05-28
DEV0418,STORE093,PROD0978,151,2024-05-31
DEV0419,STORE011,PROD0626,183,2024-06-17
DEV0420,STORE029,PROD0338,190,2024-06-22
DEV0421,STORE003,PROD0494,336,2024-04-21
DEV0422,STORE079,PROD0620,280,2024-05-13
DEV0423,STORE099,PROD0545,250,2024-08-08
DEV0424,STORE012,PROD0464,201,2024-11-16
DEV0425,STORE035,PROD0336,245,2024-10-03
DEV0426,STORE039,PROD0039,325,2024-05-03
DEV0427,STORE009,PROD0139,7,2024-10-16
DEV0428,STORE076,PROD0026,180,2024-06-26
DEV0429,STORE032,PROD0681,298,2024-06-11
DEV0430,STORE038,PROD0016,214,2024-05-31
DEV0431,STORE011,PROD0103,391,2024-08-29
DEV0432,STORE015,PROD0836,471,2024-12-22
DEV0433,STORE092,PROD0020,237,2024-11-19
DEV0434,STORE002,PROD0548,474,2024-05-10
DEV0435,STORE041,PROD0759,166,2024-07-28
DEV0436,STORE054,PROD0823,371,2024-10-25
DEV0437,STORE084,PROD0943,246,2024-07-16
DEV0438,STORE047,PROD0319,361,2024-12-05
DEV0439,STORE017,PROD0093,132,2024-05-24
DEV0440,STORE039,PROD0899,248,2024-11-05
DEV0441,STORE070,PROD0559,94,2024-10-30
DEV0442,STORE009,PROD0037,366,2024-01-29
DEV0443,STORE035,PROD0945,245,2024-06-26
DEV0444,STORE081,PROD0021,260,2024-04-02
DEV0445,STORE094,PROD0060,412,2024-09-25
DEV0446,STORE062,PROD0615,392,2024-02-19
DEV0447,STORE080,PROD0881,443,2024-05-09
DEV0448,STORE097,PROD0936,294,2024-09-15
DEV0449,STORE066,PROD0710,44,2024-08-01
DEV0450,STORE027,PROD0430,174,2024-06-02
DEV0451,STORE044,PROD0114,12,2024-11-17
DEV0452,STORE050,PROD0708,209,2024-12-30
DEV0453,STORE065,PROD0806,153,2024-11-27
DEV0454,STORE028,PROD0400,323,2024-06-30
DEV0455,STORE052,PROD0433,279,2024-09-30
DEV0456,STORE049,PROD0768,476,2024-10-21
DEV0457,STORE055,PROD0321,492,2024-04-07
DEV0458,STORE014,PROD0864,349,2024-03-26
DEV0459,STORE015,PROD0615,276,2024-05-16
DEV0460,STORE044,PROD0287,3,2024-07-26
DEV0461,STORE051,PROD0344,228,2024-06-16
DEV0462,STORE073,PROD0003,495,2024-01-25
DEV0463,STORE063,PROD0067,387,2024-03-01
DEV0464,STORE039,PROD0143,273,2024-04-04
DEV0465,STORE098,PROD0397,227,2024-12-26
DEV0466,STORE071,PROD0075,420,2024-10-05
DEV0467,STORE076,PROD0629,406,2024-06-29
DEV0468,STORE100,PROD0135,254,2024-12-02
DEV0469,STORE068,PROD0316,390,2024-11-24
DEV0470,STORE043,PROD0070,50,2024-04-17
DEV0471,STORE031,PROD0036,83,2024-11-12
DEV0472,STORE078,PROD0400,438,2024-09-01
DEV0473,STORE087,PROD0839,359,2024-02-03
DEV0474,STORE094,PROD0029,309,2024-04-12
DEV0475,STORE060,PROD0163,40,2024-01-16
DEV0476,STORE084,PROD0347,145,2024-10-03
DEV0477,STORE051,PROD0644,29,2024-08-16
DEV0478,STORE030,PROD0096,109,2024-09-08
DEV0479,STORE053,PROD0782,421,2024-10-19
DEV0480,STORE044,PROD0832,197,2024-09-14
DEV0481,STORE095,PROD0094,409,2024-11-02
DEV0482,STORE070,PROD0603,293,2024-07-12
DEV0483,STORE072,PROD0802,480,2024-06-09
DEV0484,STORE023,PROD0016,131,2024-11-13
DEV0485,STORE020,PROD0420,55,2024-09-30
DEV0486,STORE039,PROD0800,188,2024-11-07
DEV0487,STORE058,PROD0054,369,2024-07-01
DEV0488,STORE045,PROD0850,26,2024-03-05
DEV0489,STORE067,PROD0231,9,2024-02-23
DEV0490,STORE087,PROD0891,321,2024-12-09
DEV0491,STORE009,PROD0106,125,2024-07-19
DEV0492,STORE096,PROD0717,349,2024-09-28
DEV0493,STORE075,PROD0708,461,2024-03-24
DEV0494,STORE072,PROD0788,400,2024-04-07
DEV0495,STORE061,PROD0350,406,2024-04-16
DEV0496,STORE099,PROD0952,394,2024-07-15
DEV0497,STORE063,PROD0333,111,2024-10-10
DEV0498,STORE032,PROD0713,53,2024-12-24
DEV0499,STORE071,PROD0489,184,2024-01-07
DEV0500,STORE069,PROD0997,284,2024-12-13
DEV0501,STORE089,PROD0577,466,2024-08-22
DEV0502,STORE019,PROD0090,272,2024-03-29
DEV0503,STORE042,PROD0560,319,2024-07-30
DEV0504,STORE093,PROD0919,16,2024-05-23
DEV0505,STORE042,PROD0855,83,2024-04-13
DEV0506,STORE093,PROD0752,492,2024-07-19
DEV0507,STORE079,PROD0233,398,2024-06-04
DEV0508,STORE083,PROD0137,480,2024-07-25
DEV0509,STORE002,PROD0257,489,2024-11-29
DEV0510,STORE053,PROD0332,398,2024-05-24
DEV0511,STORE040,PROD0144,396,2024-01-04
DEV0512,STORE062,PROD0557,186,2024-05-19
DEV0513,STORE027,PROD0364,342,2024-05-15
DEV0514,STORE009,PROD0836,220,2024-02-27
DEV0515,STORE096,PROD0218,202,2024-01-30
DEV0516,STORE039,PROD0902,229,2024-11-13
DEV0517,STORE011,PROD0204,49,2024-11-13
DEV0518,STORE066,PROD0036,244,2024-11-17
DEV0519,STORE010,PROD0718,51,2024-12-05
DEV0520,STORE046,PROD0042,126,2024-06-13
DEV0521,STORE015,PROD0116,478,2024-07-28
DEV0522,STORE074,PROD0457,131,2024-09-21
DEV0523,STORE001,PROD0861,497,2024-01-31
DEV0524,STORE068,PROD0719,442,2024-09-17
DEV0525,STORE003,PROD0724,332,2024-04-01
DEV0526,STORE035,PROD0182,480,2024-07-09
DEV0527,STORE086,PROD0049,384,2024-12-06
DEV0528,STORE051,PROD0832,276,2024-08-11
DEV0529,STORE025,PROD0888,238,2024-07-24
DEV0530,STORE067,PROD0573,400,2024-03-15
DEV0531,STORE025,PROD0590,348,2024-04-29
DEV0532,STORE036,PROD0827,251,2024-12-01
DEV0533,STORE007,PROD0569,476,2024-10-23
DEV0534,STORE002,PROD0017,386,2024-05-31
DEV0535,STORE006,PROD0881,465,2024-07-16
DEV0536,STORE038,PROD0883,367,2024-03-17
